rows: 564
cols: 6
-0.026177,-0.743425,0.247747,-0.122000,-0.762000,-0.048000
-0.058135,-0.764730,0.210462,-0.136000,-0.794000,-0.050000
-0.042156,-0.791362,0.119915,-0.116000,-0.788000,-0.020000
-0.116725,-0.748751,0.098610,-0.086000,-0.796000,-0.040000
-0.196620,-0.711467,0.034694,-0.044000,-0.800000,-0.060000
-0.276514,-0.668857,0.055999,0.000000,-0.826000,-0.038000
-0.308472,-0.668857,0.008062,0.016000,-0.830000,-0.034000
-0.393693,-0.620920,-0.018569,0.052000,-0.826000,-0.042000
-0.532178,-0.567657,0.013389,0.090000,-0.810000,-0.046000
-0.686641,-0.514393,0.013389,0.128000,-0.792000,-0.054000
-0.878386,-0.439825,-0.023896,0.144000,-0.756000,-0.108000
-0.963606,-0.343951,-0.055853,0.140000,-0.706000,-0.212000
-0.936976,-0.248077,-0.082485,0.100000,-0.694000,-0.294000
-0.920996,-0.189488,-0.087811,0.064000,-0.694000,-0.380000
-0.841106,-0.141551,-0.087811,-0.010000,-0.688000,-0.452000
-0.830452,-0.141551,-0.093138,-0.066000,-0.718000,-0.450000
-0.761210,-0.205467,-0.071832,-0.138000,-0.828000,-0.440000
-0.660010,-0.306667,-0.093138,-0.218000,-0.994000,-0.406000
-0.628052,-0.338625,-0.093138,-0.248000,-1.172000,-0.336000
-0.649357,-0.391888,-0.146401,-0.230000,-1.276000,-0.338000
-0.686641,-0.397214,-0.189012,-0.186000,-1.378000,-0.426000
-0.686641,-0.343951,-0.252927,-0.126000,-1.446000,-0.474000
-0.574788,-0.264056,-0.354127,-0.052000,-1.412000,-0.496000
-0.505546,-0.205467,-0.391412,0.004000,-1.344000,-0.448000
-0.367062,-0.051003,-0.295538,0.074000,-1.286000,-0.398000
-0.260535,-0.066982,-0.055853,0.192000,-1.516000,-0.130000
-0.542831,-0.423846,0.274378,0.398000,-1.988000,0.184000
-0.606746,-0.008393,0.636568,0.582000,-2.368000,0.152000
-0.691968,0.929040,0.577979,0.434000,-1.956000,-0.026000
-0.841106,1.195360,0.135894,-0.100000,-1.082000,-0.226000
-0.548157,0.572176,-0.183685,-0.514000,-1.082000,-0.194000
0.192201,0.018239,-0.343475,-0.552000,-0.864000,-0.022000
0.644939,-0.296014,-0.370106,-0.552000,-1.148000,-0.022000
0.565044,-0.386562,-0.300864,-0.398000,-1.368000,0.102000
0.304055,-0.381235,-0.173033,-0.202000,-1.360000,0.138000
0.378623,-0.354604,-0.077159,-0.020000,-1.404000,0.162000
0.543739,-0.375909,-0.045201,0.038000,-1.504000,0.096000
0.591676,-0.423846,-0.066506,0.038000,-1.498000,-0.004000
0.495802,-0.338625,-0.039874,0.018000,-1.348000,0.044000
0.298728,-0.290688,-0.045201,-0.014000,-1.124000,0.092000
0.208180,-0.221446,-0.119769,-0.046000,-0.932000,0.102000
0.256117,-0.114919,-0.263580,0.006000,-0.822000,0.094000
0.288076,0.028892,-0.322170,0.092000,-0.782000,0.066000
0.282749,0.076828,-0.434022,0.192000,-0.740000,0.010000
0.245465,0.183355,-0.439349,0.276000,-0.664000,0.018000
0.266770,0.300534,-0.412717,0.332000,-0.582000,0.040000
0.298728,0.423039,-0.332822,0.334000,-0.580000,0.050000
0.256117,0.486955,-0.300864,0.292000,-0.572000,0.038000
0.245465,0.561524,-0.300864,0.222000,-0.530000,0.050000
0.213507,0.598808,-0.327496,0.140000,-0.498000,0.052000
0.165570,0.641419,-0.380759,0.108000,-0.506000,0.044000
0.165570,0.673377,-0.327496,0.112000,-0.548000,0.000000
0.176223,0.673377,-0.274233,0.108000,-0.604000,-0.036000
0.128286,0.593482,-0.215643,0.086000,-0.664000,-0.054000
0.043065,0.566850,-0.135748,0.052000,-0.698000,-0.066000
0.021760,0.497608,-0.055853,0.030000,-0.706000,-0.088000
0.064370,0.412387,0.002736,0.014000,-0.728000,-0.112000
0.053718,0.401734,0.061326,0.006000,-0.778000,-0.136000
-0.026177,0.369776,0.071978,0.010000,-0.794000,-0.162000
-0.122051,0.321839,0.109262,0.024000,-0.782000,-0.204000
-0.143356,0.305860,0.071978,0.004000,-0.802000,-0.250000
-0.185967,0.268576,0.082631,-0.014000,-0.832000,-0.284000
-0.180641,0.215313,0.018715,-0.034000,-0.868000,-0.312000
-0.106072,0.225965,0.040020,-0.036000,-0.920000,-0.300000
-0.042156,0.257923,0.055999,-0.034000,-0.998000,-0.244000
-0.052809,0.289881,0.066652,-0.026000,-1.046000,-0.226000
-0.068788,0.337818,0.109262,-0.006000,-1.094000,-0.222000
-0.164662,0.423039,0.082631,-0.010000,-1.152000,-0.242000
