Ax,Ay,Az,Gx,Gy,Gz
0.12167097966728281,-1.0288946395563772,0.09353049907578559,0.01945564879852126,-0.01357119963031424,0.007461802218114598
0.11,-0.996,0.076,0.048391,-0.088287,0.029368
-0.8,-1.7,-0.442,-0.889046,-1.14822,-0.956
0.704,-0.646,0.784,0.927234,1.37645,0.92419
-0.1684436863234208,-0.6492966824010482,0.4766906685551968,-0.3018008413750127,0.21449111647305885,-0.10751347270174293
0.14025223366053827,0.1710945500391211,0.15263528551562963,0.2040515090559346,0.41622446251037815,0.30813719028566944
0.008076022594480666,0.009013871317368105,0.00869055457163474,0.010942691354883885,0.02197519972434995,0.016193396641909857
0.18784349403716427,0.20965729890515294,0.20213714322347032,0.25452050860734887,0.5111301076853749,0.37664879833606224
2.287067677705206,-0.20678418751959082,0.8180162398695394,0.20963088650965922,-0.3169533362713004,-0.5956929475737733
0.03528517825209017,0.043956182984204645,0.040859424670545756,0.06478068930174356,0.26125398698246294,0.1418643172879997
-inf,6.2732244945329985,-inf,-inf,-inf,-inf
0.22380573170785084,1.050038267060802,0.22272714007931604,0.2552630242943834,0.511310242848575,0.3767227040945926
65.824,-556.6320000000001,50.6,10.525506,-7.342019000000004,4.036834999999997
0.12167097966728281,-1.0288946395563772,0.09353049907578559,0.01945564879852126,-0.01357119963031424,0.007461802218114598
0.11,-0.996,0.076,0.048391,-0.088287,0.029368
0.704,-0.646,0.784,0.927234,1.37645,0.92419
-0.8,-1.7,-0.442,-0.889046,-1.14822,-0.956
0.18784349403716427,0.20965729890515294,0.20213714322347032,0.25452050860734887,0.5111301076853749,0.37664879833606224
19.08928143438078,23.780294994454714,22.104948746765253,35.046352912243265,141.33840695751246,76.74859565280784
-0.1684436863234208,-0.6492966824010482,0.4766906685551968,-0.3018008413750127,0.21449111647305885,-0.10751347270174293
0.14025223366053827,0.1710945500391211,0.15263528551562963,0.2040515090559346,0.41622446251037815,0.30813719028566944
2.287067677705206,-0.20678418751959082,0.8180162398695394,0.20963088650965922,-0.3169533362713004,-0.5956929475737733
0.03528517825209017,0.043956182984204645,0.040859424670545756,0.06478068930174356,0.26125398698246294,0.1418643172879997
0.22380573170785084,1.050038267060802,0.22272714007931604,0.2552630242943834,0.511310242848575,0.3767227040945926
